Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00266,000133000,126.25,21.34,100.00,0
00267,000133500,126.25,21.34,100.00,0
00268,000134000,127.50,21.34,100.00,0
00269,000134500,128.25,21.33,100.00,0
00270,000135000,129.25,21.35,100.00,0
00271,000135500,129.25,21.35,100.00,0
00272,000136000,130.75,21.33,100.00,0
00273,000136500,131.75,21.33,100.00,0
00274,000137000,131.75,21.33,100.00,0
00275,000137500,132.50,21.33,100.00,0
00276,000138000,134.00,21.33,100.00,0
00277,000138500,135.00,21.33,100.00,0
00278,000139000,135.00,21.33,100.00,0
00279,000139500,136.00,21.33,100.00,0
00280,000140000,137.00,21.34,100.00,0
00281,000140500,138.50,21.33,100.00,0
00282,000141000,138.50,21.33,100.00,0
00283,000141500,139.50,21.33,100.00,0
00284,000142000,140.25,21.33,100.00,0
00285,000142500,141.25,21.34,100.00,0
00286,000143000,141.25,21.34,100.00,0
00287,000143500,142.25,21.34,100.00,0
00288,000144000,144.00,21.33,100.00,0
00289,000144500,145.00,21.33,100.00,0
00290,000145000,145.00,21.33,100.00,0
00291,000145500,145.50,21.33,100.00,0
00292,000146000,147.00,21.33,100.00,0
00293,000146500,147.75,21.33,100.00,0
00294,000147000,147.75,21.33,100.00,0
00295,000147500,148.75,21.34,100.00,0
00296,000148000,149.50,21.33,100.00,0
00297,000148500,150.75,21.33,100.00,0
00298,000149000,150.75,21.33,100.00,0
00299,000149500,151.50,21.35,100.00,0
00300,000150000,152.00,21.33,100.00,0
00301,000150500,153.25,21.33,100.00,0
00302,000151000,153.25,21.33,100.00,0
00303,000151500,153.75,21.33,100.00,0
00304,000152000,154.50,21.34,100.00,0
00305,000152500,154.50,21.34,100.00,0
00306,000153000,155.75,21.33,100.00,0
00307,000153500,156.75,21.33,100.00,0
00308,000154000,157.50,21.33,100.00,0
00309,000154500,157.50,21.33,100.00,0
00310,000155000,158.00,21.33,100.00,0
00311,000155500,159.00,21.33,100.00,0
00312,000156000,159.50,21.34,100.00,0
00313,000156500,159.50,21.34,100.00,0
00314,000157000,160.50,21.33,100.00,0
00315,000157500,161.75,21.33,100.00,0
00316,000158000,162.75,21.33,100.00,0
00317,000158500,162.75,21.33,100.00,0
00318,000159000,163.50,21.33,100.00,0
00319,000159500,164.25,21.33,100.00,0
00320,000160000,165.25,21.33,100.00,0
00321,000160500,165.25,21.33,100.00,0
00322,000161000,166.25,21.33,100.00,0
00323,000161500,166.75,21.33,100.00,0
00324,000162000,167.50,21.34,100.00,0
00325,000162500,167.50,21.34,100.00,0
00326,000163000,168.25,21.33,100.00,0
00327,000163500,169.25,21.34,100.00,0
00328,000164000,170.25,21.33,100.00,0
00329,000164500,170.25,21.33,100.00,0
00330,000165000,171.00,21.34,100.00,0
00331,000165500,171.75,21.33,100.00,0
00332,000166000,172.75,21.33,100.00,0
00333,000166500,172.75,21.33,100.00,0
00334,000167000,173.50,21.33,100.00,0
00335,000167500,174.25,21.33,100.00,0
00336,000168000,175.25,21.34,100.00,0
00337,000168500,175.25,21.34,100.00,0
00338,000169000,176.00,21.33,100.00,0
00339,000169500,176.50,21.34,100.00,0
00340,000170000,176.50,21.34,100.00,0
00341,000170500,177.75,21.33,100.00,0
00342,000171000,178.50,21.33,100.00,0
00343,000171500,179.25,21.34,100.00,0
00344,000172000,179.25,21.34,100.00,0
00345,000172500,179.75,21.35,100.00,0
00346,000173000,181.00,21.33,100.00,0
00347,000173500,181.25,21.33,100.00,0
00348,000174000,181.25,21.33,100.00,0
00349,000174500,182.50,21.34,100.00,0
00350,000175000,182.75,21.33,100.00,0
00351,000175500,184.00,21.34,100.00,0
00352,000176000,184.00,21.34,100.00,0
00353,000176500,184.75,21.34,100.00,0
00354,000177000,186.25,21.34,100.00,0
00355,000177500,186.75,21.34,100.00,0
00356,000178000,186.75,21.34,100.00,0
00357,000178500,187.25,21.36,100.00,0
00358,000179000,188.00,21.33,100.00,0
00359,000179500,188.75,21.33,100.00,0
00360,000180000,188.75,21.33,100.00,0
00361,000180500,190.00,21.33,100.00,0
00362,000181000,190.75,21.35,100.00,0
00363,000181500,191.75,21.35,100.00,0
00364,000182000,191.75,21.35,100.00,0
00365,000182500,193.00,21.34,100.00,0
00366,000183000,193.50,21.34,100.00,0
00367,000183500,194.00,21.33,100.00,0
00368,000184000,194.00,21.33,100.00,0
00369,000184500,194.75,21.35,100.00,0
00370,000185000,196.00,21.33,100.00,0
00371,000185500,196.00,21.33,100.00,0
00372,000186000,196.50,21.35,100.00,0
00373,000186500,197.50,21.34,100.00,0
00374,000187000,198.50,21.35,100.00,0
00375,000187500,198.50,21.35,100.00,0
00376,000188000,199.50,21.35,100.00,0
00377,000188500,200.00,21.35,100.00,0
00378,000189000,200.25,21.35,000.00,0
00379,000189500,200.25,21.35,000.00,0
00380,000190000,201.50,21.35,000.00,0
00381,000190500,201.50,21.34,000.00,0
00382,000191000,203.50,21.35,000.00,0
00383,000191500,203.50,21.35,000.00,0
00384,000192000,203.50,21.34,000.00,0
00385,000192500,204.75,21.35,000.00,0
00386,000193000,205.00,21.35,000.00,0
00387,000193500,205.00,21.35,000.00,0
00388,000194000,205.50,21.36,000.00,0
00389,000194500,206.75,21.35,000.00,0
00390,000195000,207.25,21.36,000.00,0
00391,000195500,207.25,21.36,000.00,0
00392,000196000,207.75,21.36,000.00,0
00393,000196500,207.75,21.35,000.00,0
00394,000197000,208.50,21.35,000.00,0
00395,000197500,208.50,21.35,000.00,0
00396,000198000,208.75,21.36,000.00,0
00397,000198500,209.25,21.35,000.00,0
00398,000199000,210.00,21.35,000.00,0
00399,000199500,210.00,21.35,000.00,0
00400,000200000,210.25,21.35,000.00,0
00401,000200500,210.25,21.34,000.00,0
00402,000201000,210.25,21.34,000.00,0
00403,000201500,211.00,21.35,000.00,0
00404,000202000,211.25,21.35,000.00,0
00405,000202500,211.25,21.35,000.00,0
00406,000203000,211.25,21.35,000.00,0
00407,000203500,211.50,21.36,000.00,0
00408,000204000,212.00,21.35,000.00,0
00409,000204500,212.50,21.36,000.00,0
00410,000205000,212.50,21.36,000.00,0
