Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00617,000308500,020.75,20.39,100.00,0,109.96
00618,000309000,020.75,20.39,100.00,0,110.25
00619,000309500,020.75,20.39,100.00,0,110.54
00620,000310000,020.50,20.39,100.00,0,110.83
00621,000310500,020.50,20.39,100.00,0,111.12
00622,000311000,021.00,20.38,100.00,0,111.42
00623,000311500,021.00,20.38,100.00,0,111.71
00624,000312000,021.00,20.38,100.00,0,112.00
00625,000312500,020.50,20.39,100.00,0,112.29
00626,000313000,020.50,20.39,100.00,0,112.58
00627,000313500,020.25,20.39,100.00,0,112.88
00628,000314000,020.25,20.39,100.00,0,113.17
00629,000314500,020.25,20.39,100.00,0,113.46
00630,000315000,020.25,20.39,100.00,0,113.75
00631,000315500,020.25,20.39,100.00,0,114.04
00632,000316000,020.25,20.38,100.00,0,114.33
00633,000316500,020.25,20.38,100.00,0,114.62
00634,000317000,020.75,20.39,100.00,0,114.92
00635,000317500,020.75,20.39,100.00,0,115.21
00636,000318000,020.75,20.39,100.00,0,115.50
00637,000318500,020.75,20.38,100.00,0,115.79
00638,000319000,020.75,20.38,100.00,0,116.08
00639,000319500,020.75,20.39,100.00,0,116.38
00640,000320000,020.75,20.39,100.00,0,116.67
00641,000320500,020.75,20.39,100.00,0,116.96
00642,000321000,020.75,20.39,100.00,0,117.25
00643,000321500,020.75,20.39,100.00,0,117.54
00644,000322000,020.25,20.39,100.00,0,117.83
00645,000322500,020.25,20.39,100.00,0,118.12
00646,000323000,020.50,20.39,100.00,0,118.42
00647,000323500,020.50,20.39,100.00,0,118.71
00648,000324000,020.50,20.39,100.00,0,119.00
00649,000324500,020.50,20.38,100.00,0,119.29
00650,000325000,020.50,20.38,100.00,0,119.58
00651,000325500,020.75,20.39,100.00,0,119.88
00652,000326000,020.75,20.39,100.00,0,120.17
00653,000326500,020.75,20.39,100.00,0,120.46
00654,000327000,020.50,20.39,100.00,0,120.75
00655,000327500,020.50,20.39,100.00,0,121.04
00656,000328000,020.50,20.38,100.00,0,121.33
00657,000328500,020.50,20.38,100.00,0,121.62
00658,000329000,020.50,20.38,100.00,0,121.92
00659,000329500,020.25,20.39,100.00,0,122.21
00660,000330000,020.25,20.39,100.00,0,122.50
00661,000330500,020.75,20.38,100.00,0,122.79
00662,000331000,020.75,20.38,100.00,0,123.08
00663,000331500,020.25,20.38,100.00,0,123.38
00664,000332000,020.25,20.38,100.00,0,123.67
00665,000332500,020.25,20.38,100.00,0,123.96
00666,000333000,020.75,20.39,100.00,0,124.25
00667,000333500,020.75,20.39,100.00,0,124.54
00668,000334000,020.00,20.38,100.00,0,124.83
00669,000334500,020.00,20.38,100.00,0,125.12
00670,000335000,020.00,20.38,100.00,0,125.42
00671,000335500,020.25,20.38,100.00,0,125.71
00672,000336000,020.25,20.38,100.00,0,126.00
00673,000336500,020.75,20.38,100.00,0,126.29
00674,000337000,020.75,20.38,100.00,0,126.58
00675,000337500,020.50,20.39,100.00,0,126.88
00676,000338000,020.50,20.39,100.00,0,127.17
00677,000338500,020.50,20.39,100.00,0,127.46
00678,000339000,020.25,20.39,100.00,0,127.75
00679,000339500,020.25,20.39,100.00,0,128.04
00680,000340000,020.25,20.39,100.00,0,128.33
00681,000340500,020.25,20.39,100.00,0,128.62
00682,000341000,020.25,20.39,100.00,0,128.92
00683,000341500,020.75,20.39,100.00,0,129.21
00684,000342000,020.75,20.39,100.00,0,129.50
00685,000342500,020.75,20.39,100.00,0,129.79
00686,000343000,020.75,20.39,100.00,0,130.08
00687,000343500,020.75,20.39,100.00,0,130.38
00688,000344000,020.50,20.39,100.00,0,130.67
00689,000344500,020.50,20.39,100.00,0,130.96
00690,000345000,020.00,20.38,100.00,0,131.25
00691,000345500,020.00,20.38,100.00,0,131.54
