,Time (ms),Reference Temperature (C),Control (percent)
540,270000,40.0,30.0
541,270500,40.0,30.0
542,271000,40.0,30.0
543,271500,40.0,30.0
544,272000,40.0,30.0
545,272500,40.0,30.0
546,273000,40.0,30.0
547,273500,40.0,30.0
548,274000,40.0,30.0
549,274500,40.0,30.0
550,275000,40.0,30.0
551,275500,40.0,30.0
552,276000,40.0,30.0
553,276500,40.0,30.0
554,277000,40.0,30.0
555,277500,40.0,30.0
556,278000,40.0,30.0
557,278500,40.0,30.0
558,279000,40.0,30.0
559,279500,40.0,30.0
560,280000,40.0,30.0
561,280500,40.0,30.0
562,281000,40.0,30.0
563,281500,40.0,30.0
564,282000,40.0,30.0
565,282500,40.0,30.0
566,283000,40.0,30.0
567,283500,40.0,30.0
568,284000,40.0,30.0
569,284500,40.0,30.0
570,285000,40.0,30.0
571,285500,40.0,30.0
572,286000,40.0,30.0
573,286500,40.0,30.0
574,287000,40.0,30.0
575,287500,40.0,30.0
576,288000,40.0,30.0
577,288500,40.0,30.0
578,289000,40.0,30.0
579,289500,40.0,30.0
580,290000,40.0,30.0
581,290500,40.0,30.0
582,291000,40.0,30.0
583,291500,40.0,30.0
584,292000,40.0,30.0
585,292500,40.0,30.0
586,293000,40.0,30.0
587,293500,40.0,30.0
588,294000,40.0,30.0
589,294500,40.0,30.0
590,295000,40.0,30.0
591,295500,40.0,30.0
592,296000,40.0,30.0
593,296500,40.0,30.0
594,297000,40.0,30.0
595,297500,40.0,30.0
596,298000,40.0,30.0
597,298500,40.0,30.0
598,299000,40.0,30.0
599,299500,40.0,30.0
600,300000,40.0,30.0
601,300500,40.0,30.0
602,301000,40.0,30.0
603,301500,40.0,30.0
604,302000,40.0,30.0
605,302500,40.0,30.0
606,303000,40.0,30.0
607,303500,40.0,30.0
608,304000,40.0,30.0
609,304500,40.0,30.0
610,305000,40.0,30.0
611,305500,40.0,30.0
612,306000,40.0,30.0
613,306500,40.0,30.0
614,307000,40.0,30.0
615,307500,40.0,30.0
616,308000,40.0,30.0
617,308500,40.0,30.0
618,309000,40.0,30.0
619,309500,40.0,30.0
620,310000,40.0,30.0
621,310500,40.0,30.0
622,311000,40.0,30.0
623,311500,40.0,30.0
624,312000,40.0,30.0
625,312500,40.0,30.0
626,313000,40.0,30.0
627,313500,40.0,30.0
628,314000,40.0,30.0
629,314500,40.0,30.0
630,315000,40.0,30.0
631,315500,40.0,30.0
632,316000,40.0,30.0
633,316500,40.0,30.0
634,317000,40.0,30.0
635,317500,40.0,30.0
636,318000,40.0,30.0
637,318500,40.0,30.0
638,319000,40.0,30.0
639,319500,40.0,30.0
640,320000,40.0,30.0
641,320500,40.0,30.0
642,321000,40.0,30.0
643,321500,40.0,30.0
644,322000,40.0,30.0
645,322500,40.0,30.0
646,323000,40.0,30.0
647,323500,40.0,30.0
648,324000,40.0,30.0
649,324500,40.0,30.0
650,325000,40.0,30.0
651,325500,40.0,30.0
652,326000,40.0,30.0
653,326500,40.0,30.0
654,327000,40.0,30.0
655,327500,40.0,30.0
656,328000,40.0,30.0
657,328500,40.0,30.0
658,329000,40.0,30.0
659,329500,40.0,30.0
660,330000,40.0,30.0
661,330500,40.0,30.0
662,331000,40.0,30.0
663,331500,40.0,30.0
664,332000,40.0,30.0
665,332500,40.0,30.0
666,333000,40.0,30.0
667,333500,40.0,30.0
668,334000,40.0,30.0
669,334500,40.0,30.0
670,335000,40.0,30.0
671,335500,40.0,30.0
672,336000,40.0,30.0
673,336500,40.0,30.0
674,337000,40.0,30.0
675,337500,40.0,30.0
676,338000,40.0,30.0
677,338500,40.0,30.0
678,339000,40.0,30.0
679,339500,40.0,30.0
680,340000,40.0,30.0
681,340500,40.0,30.0
682,341000,40.0,30.0
683,341500,40.0,30.0
684,342000,40.0,30.0
685,342500,40.0,30.0
686,343000,40.0,30.0
687,343500,40.0,30.0
688,344000,40.0,30.0
689,344500,40.0,30.0
690,345000,40.0,30.0
691,345500,40.0,30.0
692,346000,40.0,30.0
693,346500,40.0,30.0
694,347000,40.0,30.0
695,347500,40.0,30.0
696,348000,40.0,30.0
697,348500,40.0,30.0
698,349000,40.0,30.0
699,349500,40.0,30.0
700,350000,40.0,30.0
701,350500,40.0,30.0
702,351000,40.0,30.0
703,351500,40.0,30.0
704,352000,40.0,30.0
705,352500,40.0,30.0
706,353000,40.0,30.0
707,353500,40.0,30.0
708,354000,40.0,30.0
709,354500,40.0,30.0
710,355000,40.0,30.0
711,355500,40.0,30.0
712,356000,40.0,30.0
713,356500,40.0,30.0
714,357000,40.0,30.0
715,357500,40.0,30.0
716,358000,40.0,30.0
717,358500,40.0,30.0
718,359000,40.0,30.0
719,359500,40.0,30.0
720,360000,40.0,30.0
721,360500,40.0,30.0
722,361000,40.0,30.0
723,361500,40.0,30.0
724,362000,40.0,30.0
725,362500,40.0,30.0
726,363000,40.0,30.0
727,363500,40.0,30.0
