Index,Time (ms),Temperature (C),pwm_controller (percent)
00264,000132000,047.75,030.00
00265,000132500,047.75,030.00
00266,000133000,048.50,030.00
00267,000133500,048.50,030.00
00268,000134000,048.50,030.00
00269,000134500,049.25,030.00
00270,000135000,049.25,030.00
00271,000135500,049.25,030.00
00272,000136000,049.25,030.00
00273,000136500,049.75,030.00
00274,000137000,049.75,030.00
00275,000137500,049.75,030.00
00276,000138000,050.25,030.00
00277,000138500,050.25,030.00
00278,000139000,050.75,030.00
00279,000139500,050.75,030.00
00280,000140000,050.75,030.00
00281,000140500,050.75,030.00
00282,000141000,050.75,030.00
00283,000141500,051.00,030.00
00284,000142000,051.00,030.00
00285,000142500,051.00,030.00
00286,000143000,052.00,030.00
00287,000143500,052.00,030.00
00288,000144000,052.00,030.00
00289,000144500,052.00,030.00
00290,000145000,052.25,030.00
00291,000145500,052.25,030.00
00292,000146000,052.25,030.00
00293,000146500,052.50,030.00
00294,000147000,052.50,030.00
00295,000147500,053.00,030.00
00296,000148000,053.00,030.00
00297,000148500,053.00,030.00
00298,000149000,053.00,030.00
00299,000149500,053.00,030.00
00300,000150000,053.75,030.00
00301,000150500,053.75,030.00
00302,000151000,053.75,030.00
00303,000151500,054.25,030.00
00304,000152000,054.25,030.00
00305,000152500,053.75,030.00
00306,000153000,053.75,030.00
00307,000153500,054.25,030.00
00308,000154000,054.25,030.00
00309,000154500,054.25,030.00
00310,000155000,054.00,030.00
00311,000155500,054.00,030.00
00312,000156000,054.50,030.00
00313,000156500,054.50,030.00
00314,000157000,054.50,030.00
00315,000157500,054.75,030.00
00316,000158000,054.75,030.00
00317,000158500,054.75,030.00
00318,000159000,054.75,030.00
00319,000159500,055.75,030.00
00320,000160000,055.75,030.00
00321,000160500,055.75,030.00
00322,000161000,056.00,030.00
00323,000161500,056.00,030.00
00324,000162000,056.25,030.00
00325,000162500,056.25,030.00
00326,000163000,056.25,030.00
00327,000163500,056.75,030.00
00328,000164000,056.75,030.00
00329,000164500,057.25,030.00
00330,000165000,057.25,030.00
00331,000165500,057.25,030.00
00332,000166000,057.75,030.00
00333,000166500,057.75,030.00
00334,000167000,057.75,030.00
00335,000167500,057.75,030.00
00336,000168000,057.75,030.00
00337,000168500,057.75,030.00
00338,000169000,057.75,030.00
00339,000169500,059.00,030.00
00340,000170000,059.00,030.00
00341,000170500,059.25,030.00
00342,000171000,059.25,030.00
00343,000171500,059.25,030.00
00344,000172000,059.50,030.00
00345,000172500,059.50,030.00
00346,000173000,060.00,030.00
00347,000173500,060.00,030.00
00348,000174000,059.75,030.00
00349,000174500,059.75,030.00
00350,000175000,059.75,030.00
00351,000175500,060.50,030.00
00352,000176000,060.50,030.00
00353,000176500,060.50,030.00
00354,000177000,060.50,030.00
00355,000177500,060.50,030.00
00356,000178000,061.00,030.00
00357,000178500,061.00,030.00
00358,000179000,061.25,030.00
00359,000179500,061.25,030.00
00360,000180000,061.25,030.00
00361,000180500,061.50,030.00
00362,000181000,061.50,030.00
00363,000181500,062.00,030.00
00364,000182000,062.00,030.00
00365,000182500,062.25,030.00
00366,000183000,062.25,030.00
00367,000183500,062.25,030.00
00368,000184000,062.75,030.00
00369,000184500,062.75,030.00
00370,000185000,063.25,030.00
00371,000185500,063.25,030.00
00372,000186000,063.25,030.00
00373,000186500,063.75,030.00
00374,000187000,063.75,030.00
00375,000187500,063.75,030.00
