Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00110,000055000,040.00,22.31,030.08,0
00111,000055500,040.00,22.31,050.18,0
00112,000056000,040.00,22.31,050.28,0
00113,000056500,040.50,22.31,028.88,0
00114,000057000,040.25,22.31,059.72,0
00115,000057500,041.00,22.32,017.56,0
00116,000058000,041.00,22.32,047.65,0
00117,000058500,041.25,22.30,036.99,0
00118,000059000,041.25,22.31,047.08,0
00119,000059500,041.75,22.30,025.66,0
00120,000060000,041.75,22.30,045.74,0
00121,000060500,042.00,22.31,035.07,0
00122,000061000,042.50,22.32,023.65,0
00123,000061500,042.50,22.32,043.72,0
00124,000062000,042.75,22.31,033.05,0
00125,000062500,043.00,22.30,032.37,0
00126,000063000,043.50,22.30,020.93,0
00127,000063500,043.50,22.30,041.00,0
00128,000064000,043.25,22.30,051.81,0
00129,000064500,043.75,22.30,020.38,0
00130,000065000,043.25,22.30,061.94,0
00131,000065500,043.25,22.30,042.01,0
00132,000066000,044.25,22.31,000.00,0
00133,000066500,044.75,22.30,017.62,0
00134,000067000,044.75,22.31,037.67,0
00135,000067500,044.75,22.31,037.73,0
00136,000068000,045.00,22.30,027.03,0
00137,000068500,045.25,22.30,026.32,0
00138,000069000,045.75,22.30,014.87,0
00139,000069500,045.75,22.30,034.91,0
00140,000070000,046.25,22.30,013.45,0
00141,000070500,046.50,22.29,022.73,0
00142,000071000,046.75,22.30,022.01,0
00143,000071500,046.75,22.30,032.05,0
00144,000072000,047.25,22.30,010.57,0
00145,000072500,047.50,22.30,019.85,0
00146,000073000,047.75,22.30,019.12,0
00147,000073500,047.75,22.30,029.14,0
00148,000074000,048.00,22.29,018.41,0
00149,000074500,048.25,22.29,017.68,0
00150,000075000,048.50,22.31,016.95,0
00151,000075500,048.50,22.31,026.96,0
00152,000076000,049.00,22.29,005.47,0
00153,000076500,049.25,22.31,014.73,0
00154,000077000,049.25,22.31,024.73,0
00155,000077500,049.25,22.30,024.74,0
00156,000078000,049.50,22.30,014.00,0
00157,000078500,049.75,22.31,013.25,0
00158,000079000,049.75,22.31,023.25,0
00159,000079500,050.25,22.30,001.75,0
00160,000080000,050.25,22.30,021.75,0
00161,000080500,050.75,22.30,000.24,0
00162,000081000,050.75,22.30,020.23,0
00163,000081500,050.75,22.30,020.23,0
00164,000082000,051.50,22.31,000.00,0
00165,000082500,051.25,22.30,028.70,0
00166,000083000,051.25,22.30,018.68,0
00167,000083500,051.75,22.29,000.00,0
00168,000084000,052.00,22.31,006.40,0
00169,000084500,052.00,22.30,016.38,0
00170,000085000,052.00,22.30,016.36,0
