Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00371,000185500,070.50,22.47,000.00,0
00372,000186000,070.75,22.47,000.00,0
00373,000186500,070.75,22.47,000.00,0
00374,000187000,070.50,22.47,000.00,0
00375,000187500,070.50,22.47,000.00,0
00376,000188000,070.50,22.47,000.00,0
00377,000188500,070.50,22.47,000.00,0
00378,000189000,070.75,22.47,000.00,0
00379,000189500,071.00,22.47,000.00,0
00380,000190000,070.50,22.47,000.00,0
00381,000190500,070.50,22.47,000.00,0
00382,000191000,071.25,22.46,000.00,0
00383,000191500,071.00,22.48,000.00,0
00384,000192000,070.75,22.48,000.00,0
00385,000192500,070.75,22.48,000.00,0
00386,000193000,071.00,22.47,000.00,0
00387,000193500,070.75,22.48,000.00,0
00388,000194000,070.25,22.47,000.00,0
00389,000194500,070.25,22.47,000.00,0
00390,000195000,070.75,22.47,000.00,0
00391,000195500,070.75,22.47,000.00,0
00392,000196000,070.75,22.47,000.00,0
00393,000196500,071.00,22.47,000.00,0
00394,000197000,071.00,22.47,000.00,0
00395,000197500,070.75,22.47,000.00,0
00396,000198000,070.75,22.47,000.00,0
00397,000198500,071.25,22.46,000.00,0
00398,000199000,070.50,22.47,000.00,0
00399,000199500,071.00,22.46,000.00,0
00400,000200000,071.00,22.46,000.00,0
00401,000200500,070.75,22.47,000.00,0
00402,000201000,071.00,22.47,000.00,0
00403,000201500,070.75,22.47,000.00,0
00404,000202000,070.75,22.47,000.00,0
00405,000202500,070.75,22.47,000.00,0
00406,000203000,071.00,22.46,000.00,0
00407,000203500,070.50,22.46,000.00,0
00408,000204000,070.50,22.46,000.00,0
00409,000204500,071.25,22.46,000.00,0
00410,000205000,071.00,22.47,000.00,0
00411,000205500,071.25,22.46,000.00,0
00412,000206000,071.25,22.46,000.00,0
00413,000206500,070.50,22.45,000.00,0
00414,000207000,071.25,22.46,000.00,0
00415,000207500,070.75,22.46,000.00,0
00416,000208000,070.75,22.46,000.00,0
00417,000208500,070.75,22.47,000.00,0
00418,000209000,071.00,22.47,000.00,0
00419,000209500,071.25,22.46,000.00,0
00420,000210000,071.25,22.46,000.00,0
00421,000210500,071.25,22.46,000.00,0
00422,000211000,070.75,22.47,000.00,0
00423,000211500,070.75,22.47,000.00,0
00424,000212000,071.00,22.47,000.00,0
00425,000212500,071.00,22.46,000.00,0
00426,000213000,070.75,22.46,000.00,0
00427,000213500,070.75,22.46,000.00,0
00428,000214000,071.00,22.46,000.00,0
00429,000214500,071.00,22.46,000.00,0
00430,000215000,070.75,22.47,000.00,0
00431,000215500,070.75,22.47,000.00,0
00432,000216000,070.75,22.46,000.00,0
00433,000216500,070.25,22.47,000.00,0
00434,000217000,070.75,22.46,000.00,0
00435,000217500,070.75,22.46,000.00,0
00436,000218000,070.50,22.46,000.00,0
00437,000218500,071.00,22.46,000.00,0
00438,000219000,070.50,22.46,001.45,0
00439,000219500,070.50,22.46,000.00,0
00440,000220000,071.00,22.46,000.00,0
00441,000220500,070.50,22.46,003.21,0
00442,000221000,070.50,22.46,000.00,0
00443,000221500,070.50,22.46,000.00,0
00444,000222000,070.50,22.46,000.00,0
00445,000222500,070.75,22.45,000.00,0
00446,000223000,071.00,22.46,000.00,0
00447,000223500,071.00,22.46,000.00,0
00448,000224000,070.25,22.47,018.13,0
00449,000224500,070.75,22.46,000.00,0
00450,000225000,071.00,22.47,000.00,0
00451,000225500,071.00,22.47,000.00,0
00452,000226000,070.50,22.47,009.80,0
00453,000226500,070.50,22.46,000.00,0
00454,000227000,071.00,22.47,000.00,0
00455,000227500,071.00,22.47,000.00,0
00456,000228000,071.00,22.47,000.00,0
00457,000228500,070.50,22.48,012.87,0
00458,000229000,070.50,22.48,000.00,0
00459,000229500,070.75,22.46,000.00,0
00460,000230000,070.75,22.47,000.00,0
00461,000230500,070.50,22.47,005.38,0
00462,000231000,070.50,22.47,000.00,0
00463,000231500,070.75,22.47,000.00,0
00464,000232000,070.75,22.47,000.00,0
00465,000232500,070.50,22.48,007.91,0
00466,000233000,070.50,22.48,000.00,0
00467,000233500,070.75,22.48,000.00,0
00468,000234000,070.00,22.48,031.35,0
00469,000234500,070.50,22.47,000.00,0
00470,000235000,070.50,22.47,001.14,0
00471,000235500,070.75,22.48,000.00,0
00472,000236000,070.75,22.47,001.69,0
00473,000236500,070.50,22.48,013.10,0
00474,000237000,070.50,22.48,003.75,0
00475,000237500,070.50,22.48,004.41,0
00476,000238000,070.50,22.48,005.08,0
00477,000238500,070.75,22.48,000.00,0
00478,000239000,070.75,22.48,005.65,0
00479,000239500,070.25,22.48,027.82,0
00480,000240000,070.50,22.47,000.00,0
00481,000240500,070.25,22.48,020.96,0
00482,000241000,070.25,22.48,011.76,0
00483,000241500,070.25,22.47,012.56,0
00484,000242000,070.25,22.47,013.37,0
00485,000242500,070.50,22.47,003.43,0
00486,000243000,070.50,22.47,014.24,0
00487,000243500,070.25,22.47,025.80,0
00488,000244000,070.50,22.47,005.87,0
00489,000244500,070.50,22.47,016.69,0
00490,000245000,070.50,22.48,017.51,0
00491,000245500,070.75,22.48,007.58,0
00492,000246000,070.50,22.48,029.15,0
00493,000246500,070.50,22.48,019.98,0
00494,000247000,071.00,22.47,000.00,0
00495,000247500,070.75,22.48,030.88,0
00496,000248000,070.75,22.47,021.72,0
00497,000248500,070.75,22.47,022.55,0
00498,000249000,070.25,22.48,044.89,0
00499,000249500,070.25,22.48,025.74,0
00500,000250000,070.25,22.47,026.59,0
00501,000250500,070.25,22.47,027.44,0
00502,000251000,070.50,22.48,017.54,0
00503,000251500,070.50,22.48,028.39,0
00504,000252000,070.50,22.48,029.24,0
00505,000252500,070.50,22.48,030.10,0
00506,000253000,070.50,22.47,030.96,0
00507,000253500,070.50,22.48,031.82,0
00508,000254000,070.50,22.47,032.69,0
00509,000254500,070.50,22.47,033.56,0
00510,000255000,070.50,22.48,034.43,0
00511,000255500,070.25,22.48,046.05,0
00512,000256000,070.25,22.48,036.93,0
00513,000256500,070.25,22.48,037.81,0
00514,000257000,070.50,22.48,027.94,0
00515,000257500,070.25,22.48,049.58,0
00516,000258000,070.50,22.48,029.71,0
00517,000258500,070.50,22.48,040.60,0
00518,000259000,070.00,22.48,062.99,0
00519,000259500,070.50,22.48,022.38,0
00520,000260000,070.50,22.48,043.28,0
00521,000260500,070.50,22.48,044.18,0
00522,000261000,070.25,22.49,055.83,0
00523,000261500,070.50,22.48,035.98,0
00524,000262000,070.50,22.48,046.89,0
00525,000262500,070.25,22.48,058.55,0
00526,000263000,070.00,22.49,060.21,0
00527,000263500,070.75,22.49,018.87,0
00528,000264000,070.75,22.49,049.78,0
00529,000264500,070.75,22.49,050.70,0
00530,000265000,070.75,22.48,051.62,0
00531,000265500,071.00,22.48,041.78,0
00532,000266000,071.00,22.48,052.70,0
00533,000266500,070.75,22.49,064.38,0
00534,000267000,071.00,22.48,044.55,0
00535,000267500,070.50,22.49,076.99,0
00536,000268000,070.50,22.49,057.92,0
00537,000268500,071.00,22.49,037.35,0
00538,000269000,070.75,22.48,069.04,0
00539,000269500,071.50,22.48,027.73,0
00540,000270000,071.50,22.48,058.66,0
00541,000270500,071.50,22.49,059.60,0
00542,000271000,071.50,22.48,060.54,0
00543,000271500,071.50,22.50,061.48,0
00544,000272000,071.50,22.50,062.42,0
00545,000272500,071.00,22.49,084.88,0
00546,000273000,071.50,22.49,044.33,0
00547,000273500,071.75,22.49,054.53,0
00548,000274000,071.75,22.49,065.48,0
00549,000274500,072.00,22.49,055.68,0
00550,000275000,072.00,22.48,066.64,0
00551,000275500,072.00,22.48,067.59,0
00552,000276000,072.00,22.48,068.56,0
00553,000276500,072.25,22.48,058.77,0
00554,000277000,072.50,22.48,058.98,0
00555,000277500,072.50,22.48,069.94,0
00556,000278000,072.00,22.49,092.41,0
00557,000278500,072.50,22.49,051.88,0
00558,000279000,072.25,22.49,083.60,0
00559,000279500,072.25,22.49,074.57,0
00560,000280000,072.50,22.48,064.80,0
00561,000280500,072.50,22.48,075.78,0
00562,000281000,072.50,22.48,076.75,0
00563,000281500,072.50,22.48,077.74,0
00564,000282000,072.75,22.49,067.97,0
00565,000282500,072.75,22.49,078.95,0
00566,000283000,073.50,22.49,047.69,0
00567,000283500,073.50,22.49,078.67,0
