Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00594,000297000,077.75,19.99,070.11,0,103.50
00595,000297500,078.25,20.00,069.61,0,103.75
00596,000298000,078.75,19.99,069.11,0,104.00
00597,000298500,078.75,19.99,090.12,0,104.25
00598,000299000,078.25,20.00,100.00,0,104.50
00599,000299500,078.75,19.99,072.14,0,104.75
00600,000300000,079.50,20.00,060.89,0,105.00
00601,000300500,079.50,20.00,093.69,0,105.29
00602,000301000,079.50,19.99,094.83,0,105.58
00603,000301500,080.00,19.99,074.46,0,105.88
00604,000302000,080.00,19.99,095.60,0,106.17
00605,000302500,080.00,19.99,096.74,0,106.46
00606,000303000,080.75,20.00,065.63,0,106.75
00607,000303500,081.00,19.99,086.01,0,107.04
00608,000304000,081.00,19.99,097.15,0,107.33
00609,000304500,081.25,20.00,087.54,0,107.62
00610,000305000,081.75,19.99,077.17,0,107.92
00611,000305500,082.25,19.99,076.81,0,108.21
00612,000306000,082.25,19.99,097.95,0,108.50
00613,000306500,082.50,20.00,088.33,0,108.79
00614,000307000,082.75,19.98,088.72,0,109.08
00615,000307500,083.25,20.00,078.36,0,109.38
00616,000308000,083.25,20.00,099.50,0,109.67
00617,000308500,083.50,19.99,089.89,0,109.96
00618,000309000,084.00,19.99,079.53,0,110.25
00619,000309500,084.50,20.00,079.16,0,110.54
00620,000310000,084.50,20.00,100.00,0,110.83
00621,000310500,085.25,20.00,069.18,0,111.12
00622,000311000,085.25,20.01,100.00,0,111.42
00623,000311500,085.75,20.00,079.95,0,111.71
00624,000312000,085.75,20.00,100.00,0,112.00
00625,000312500,086.25,20.00,080.73,0,112.29
00626,000313000,086.25,20.00,100.00,0,112.58
00627,000313500,087.00,20.00,070.75,0,112.88
00628,000314000,087.00,20.00,100.00,0,113.17
00629,000314500,087.25,20.01,092.27,0,113.46
00630,000315000,088.25,20.02,060.40,0,113.75
00631,000315500,088.50,20.00,090.78,0,114.04
00632,000316000,088.50,20.00,100.00,0,114.33
00633,000316500,089.00,20.01,081.55,0,114.62
00634,000317000,089.75,20.00,070.42,0,114.92
00635,000317500,090.00,20.00,090.80,0,115.21
00636,000318000,090.00,20.00,100.00,0,115.50
00637,000318500,090.75,19.99,070.81,0,115.79
00638,000319000,091.00,20.00,091.18,0,116.08
00639,000319500,091.00,20.00,100.00,0,116.38
