Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00261,000130500,056.00,09.17,000.00,0,050.00
00262,000131000,056.00,09.16,000.00,0,050.00
00263,000131500,056.00,09.16,000.00,0,050.00
00264,000132000,056.00,09.16,000.00,0,050.00
00265,000132500,056.00,09.16,000.00,0,050.00
00266,000133000,056.00,09.16,000.00,0,050.00
00267,000133500,055.50,09.14,015.22,0,050.00
00268,000134000,055.50,09.14,000.00,0,050.00
00269,000134500,055.25,09.15,005.87,0,050.00
00270,000135000,055.25,09.15,000.00,0,050.00
00271,000135500,055.25,09.15,000.00,0,050.00
00272,000136000,055.50,09.14,000.00,0,050.00
00273,000136500,055.50,09.14,000.00,0,050.00
00274,000137000,055.25,09.14,005.60,0,050.00
00275,000137500,055.25,09.14,000.00,0,050.00
00276,000138000,055.25,09.14,000.00,0,050.00
00277,000138500,054.75,09.13,016.95,0,050.00
00278,000139000,054.75,09.13,000.00,0,050.00
00279,000139500,054.75,09.13,000.00,0,050.00
00280,000140000,054.75,09.13,000.00,0,050.00
00281,000140500,054.25,09.11,018.26,0,050.00
00282,000141000,054.25,09.11,000.00,0,050.00
00283,000141500,054.25,09.11,000.00,0,050.00
00284,000142000,054.75,09.11,000.00,0,050.00
00285,000142500,054.75,09.11,000.00,0,050.00
00286,000143000,054.50,09.12,007.29,0,050.00
00287,000143500,054.50,09.12,000.00,0,050.00
00288,000144000,054.50,09.12,000.00,0,050.00
00289,000144500,054.25,09.11,007.90,0,050.00
00290,000145000,054.25,09.11,000.00,0,050.00
00291,000145500,054.00,09.14,008.57,0,050.00
00292,000146000,054.00,09.14,000.00,0,050.00
00293,000146500,054.00,09.14,000.00,0,050.00
00294,000147000,054.00,09.12,000.00,0,050.00
00295,000147500,054.00,09.12,000.00,0,050.00
00296,000148000,053.50,09.09,019.88,0,050.00
00297,000148500,053.50,09.09,000.00,0,050.00
00298,000149000,053.75,09.10,000.00,0,050.00
00299,000149500,053.75,09.10,000.00,0,050.00
00300,000150000,053.75,09.10,000.00,0,050.00
00301,000150500,053.75,09.10,000.00,0,050.00
00302,000151000,053.75,09.10,000.00,0,050.00
00303,000151500,054.00,09.09,000.00,0,050.00
00304,000152000,054.00,09.09,000.00,0,050.00
00305,000152500,054.00,09.09,000.00,0,050.00
00306,000153000,053.50,09.07,019.50,0,050.00
00307,000153500,053.50,09.07,000.00,0,050.00
00308,000154000,053.50,09.07,000.00,0,050.00
00309,000154500,053.50,09.07,000.00,0,050.00
00310,000155000,053.50,09.07,000.00,0,050.00
00311,000155500,053.50,09.07,000.00,0,050.00
00312,000156000,053.50,09.07,000.00,0,050.00
00313,000156500,053.75,09.07,000.00,0,050.00
00314,000157000,053.75,09.07,000.00,0,050.00
00315,000157500,053.75,09.08,000.00,0,050.00
00316,000158000,053.75,09.08,000.00,0,050.00
00317,000158500,053.75,09.08,000.00,0,050.00
00318,000159000,054.00,09.09,000.00,0,050.00
00319,000159500,054.00,09.09,000.00,0,050.00
00320,000160000,053.50,09.10,018.98,0,050.00
00321,000160500,053.50,09.10,000.00,0,050.00
00322,000161000,053.50,09.10,000.00,0,050.00
00323,000161500,052.75,09.11,031.14,0,050.00
00324,000162000,052.75,09.11,001.11,0,050.00
00325,000162500,053.50,09.11,000.00,0,050.00
00326,000163000,053.50,09.11,000.00,0,050.00
00327,000163500,053.50,09.11,000.00,0,050.00
00328,000164000,053.50,09.11,000.00,0,050.00
00329,000164500,053.50,09.11,000.00,0,050.00
00330,000165000,053.75,09.12,000.00,0,050.00
00331,000165500,053.75,09.12,000.00,0,050.00
00332,000166000,054.00,09.13,000.00,0,050.00
00333,000166500,054.00,09.13,000.00,0,050.00
00334,000167000,054.00,09.13,000.00,0,050.00
00335,000167500,054.25,09.11,000.00,0,050.00
00336,000168000,054.25,09.11,000.00,0,050.00
00337,000168500,054.50,09.08,000.00,0,050.00
00338,000169000,054.50,09.08,000.00,0,050.00
00339,000169500,054.25,09.10,006.02,0,050.00
00340,000170000,054.25,09.10,000.00,0,050.00
00341,000170500,054.25,09.10,000.00,0,050.00
00342,000171000,054.00,09.09,006.65,0,050.00
00343,000171500,054.00,09.09,000.00,0,050.00
00344,000172000,054.50,09.11,000.00,0,050.00
00345,000172500,054.50,09.11,000.00,0,050.00
00346,000173000,054.50,09.11,000.00,0,050.00
00347,000173500,054.50,09.12,000.00,0,050.00
00348,000174000,054.50,09.12,000.00,0,050.00
00349,000174500,054.75,09.12,000.00,0,050.00
00350,000175000,054.75,09.12,000.00,0,050.00
00351,000175500,054.75,09.12,000.00,0,050.00
00352,000176000,054.50,09.13,004.70,0,050.00
00353,000176500,054.50,09.13,000.00,0,050.00
00354,000177000,054.75,09.14,000.00,0,050.00
00355,000177500,054.75,09.14,000.00,0,050.00
00356,000178000,054.50,09.11,004.51,0,050.00
00357,000178500,054.50,09.11,000.00,0,050.00
00358,000179000,054.50,09.11,000.00,0,050.00
00359,000179500,054.50,09.12,000.00,0,050.00
00360,000180000,054.50,09.12,000.00,0,050.00
00361,000180500,054.50,09.12,003.25,0,050.21
00362,000181000,054.50,09.12,003.83,0,050.42
00363,000181500,054.50,09.12,004.42,0,050.62
00364,000182000,055.25,09.14,000.00,0,050.83
00365,000182500,055.25,09.14,003.33,0,051.04
00366,000183000,055.25,09.14,003.91,0,051.25
00367,000183500,055.25,09.14,004.50,0,051.46
00368,000184000,054.50,09.13,037.35,0,051.67
00369,000184500,054.50,09.13,007.95,0,051.88
00370,000185000,054.50,09.13,008.55,0,052.08
00371,000185500,054.75,09.14,000.00,0,052.29
00372,000186000,054.75,09.14,009.00,0,052.50
00373,000186500,055.00,09.16,000.00,0,052.71
00374,000187000,055.00,09.16,009.46,0,052.92
00375,000187500,055.00,09.16,010.06,0,053.12
00376,000188000,054.75,09.14,021.42,0,053.33
00377,000188500,054.75,09.14,012.04,0,053.54
00378,000189000,054.50,09.14,023.40,0,053.75
00379,000189500,054.50,09.14,014.02,0,053.96
00380,000190000,054.50,09.14,014.65,0,054.17
00381,000190500,055.00,09.13,000.00,0,054.38
00382,000191000,055.00,09.13,014.39,0,054.58
00383,000191500,054.50,09.13,036.51,0,054.79
00384,000192000,054.50,09.13,017.14,0,055.00
00385,000192500,054.50,09.14,017.78,0,055.21
00386,000193000,054.50,09.14,018.41,0,055.42
00387,000193500,054.50,09.14,019.05,0,055.62
00388,000194000,054.25,09.14,030.44,0,055.83
00389,000194500,054.25,09.14,021.08,0,056.04
00390,000195000,053.75,09.13,043.23,0,056.25
00391,000195500,053.75,09.13,023.88,0,056.46
00392,000196000,053.75,09.13,024.54,0,056.67
00393,000196500,053.75,09.14,025.19,0,056.88
00394,000197000,053.75,09.14,025.85,0,057.08
00395,000197500,053.75,09.12,026.51,0,057.29
00396,000198000,053.75,09.12,027.17,0,057.50
00397,000198500,053.75,09.11,027.84,0,057.71
00398,000199000,053.75,09.11,028.50,0,057.92
00399,000199500,053.75,09.11,029.17,0,058.12
00400,000200000,054.00,09.13,019.09,0,058.33
00401,000200500,054.00,09.13,029.76,0,058.54
00402,000201000,054.00,09.12,030.43,0,058.75
00403,000201500,054.00,09.12,031.11,0,058.96
00404,000202000,054.00,09.12,031.79,0,059.17
00405,000202500,053.75,09.10,043.22,0,059.38
00406,000203000,053.75,09.10,033.90,0,059.58
00407,000203500,053.75,09.10,034.59,0,059.79
00408,000204000,053.75,09.10,035.27,0,060.00
00409,000204500,053.75,09.10,035.96,0,060.21
00410,000205000,053.50,09.07,047.41,0,060.42
00411,000205500,053.50,09.07,038.10,0,060.62
00412,000206000,054.00,09.05,017.30,0,060.83
00413,000206500,054.00,09.05,037.99,0,061.04
00414,000207000,053.75,09.06,049.44,0,061.25
00415,000207500,053.75,09.06,040.14,0,061.46
00416,000208000,053.75,09.06,040.85,0,061.67
00417,000208500,053.75,09.07,041.55,0,061.88
00418,000209000,053.75,09.07,042.26,0,062.08
00419,000209500,053.75,09.08,042.97,0,062.29
00420,000210000,053.75,09.08,043.69,0,062.50
00421,000210500,053.75,09.08,044.40,0,062.71
00422,000211000,053.25,09.08,066.62,0,062.92
00423,000211500,053.25,09.08,047.35,0,063.12
00424,000212000,053.25,09.07,048.07,0,063.33
00425,000212500,053.25,09.07,048.80,0,063.54
00426,000213000,053.25,09.07,049.53,0,063.75
00427,000213500,054.25,09.08,007.25,0,063.96
00428,000214000,054.25,09.08,047.98,0,064.17
00429,000214500,054.50,09.08,037.95,0,064.38
00430,000215000,054.50,09.08,048.68,0,064.58
00431,000215500,054.25,09.09,060.16,0,064.79
00432,000216000,054.25,09.09,050.89,0,065.00
00433,000216500,054.25,09.09,051.62,0,065.21
00434,000217000,054.25,09.10,052.36,0,065.42
00435,000217500,054.25,09.10,053.10,0,065.62
00436,000218000,054.50,09.09,043.09,0,065.83
00437,000218500,054.50,09.09,053.83,0,066.04
00438,000219000,054.50,09.09,054.57,0,066.25
00439,000219500,054.75,09.11,044.56,0,066.46
00440,000220000,054.75,09.11,055.31,0,066.67
00441,000220500,055.00,09.12,045.30,0,066.88
00442,000221000,055.00,09.12,056.05,0,067.08
00443,000221500,055.50,09.12,035.29,0,067.29
00444,000222000,055.50,09.12,056.03,0,067.50
00445,000222500,055.50,09.12,056.78,0,067.71
00446,000223000,056.00,09.12,036.02,0,067.92
00447,000223500,056.00,09.12,056.77,0,068.12
00448,000224000,056.25,09.12,046.77,0,068.33
00449,000224500,056.25,09.12,057.51,0,068.54
00450,000225000,056.25,09.12,058.26,0,068.75
00451,000225500,056.00,09.12,069.77,0,068.96
00452,000226000,056.00,09.12,060.53,0,069.17
00453,000226500,056.75,09.13,029.03,0,069.38
