Index,Time (ms),Temperature (C),pwm_controller (percent)
00808,000404000,107.50,000.00
00809,000404500,107.50,000.00
00810,000405000,107.50,000.00
00811,000405500,107.50,000.00
00812,000406000,107.50,000.00
00813,000406500,106.75,000.00
00814,000407000,106.75,000.00
00815,000407500,106.75,000.00
00816,000408000,107.00,000.00
00817,000408500,107.00,000.00
00818,000409000,106.50,000.00
00819,000409500,106.50,000.00
00820,000410000,106.50,000.00
00821,000410500,106.50,000.00
00822,000411000,106.50,000.00
00823,000411500,106.25,000.00
00824,000412000,106.25,000.00
00825,000412500,106.25,000.00
00826,000413000,106.25,000.00
00827,000413500,106.25,000.00
00828,000414000,105.50,000.00
00829,000414500,105.50,000.00
00830,000415000,105.50,000.00
00831,000415500,105.50,000.00
00832,000416000,105.50,000.00
00833,000416500,105.00,000.00
00834,000417000,105.00,000.00
00835,000417500,105.50,000.00
00836,000418000,105.50,000.00
00837,000418500,105.25,000.00
00838,000419000,105.25,000.00
00839,000419500,105.25,000.00
00840,000420000,104.75,000.00
00841,000420500,104.75,000.00
00842,000421000,105.00,000.00
00843,000421500,105.00,000.00
00844,000422000,105.00,000.00
00845,000422500,104.50,000.00
00846,000423000,104.50,000.00
00847,000423500,104.00,000.00
00848,000424000,104.00,000.00
00849,000424500,104.00,000.00
00850,000425000,104.25,000.00
00851,000425500,104.25,000.00
00852,000426000,104.25,000.00
00853,000426500,104.25,000.00
00854,000427000,103.75,000.00
00855,000427500,103.75,000.00
00856,000428000,103.75,000.00
00857,000428500,103.25,000.00
00858,000429000,103.25,000.00
00859,000429500,103.50,000.00
00860,000430000,103.50,000.00
00861,000430500,103.50,000.00
00862,000431000,103.25,000.00
00863,000431500,103.25,000.00
00864,000432000,103.00,000.00
00865,000432500,103.00,000.00
00866,000433000,102.75,000.00
00867,000433500,102.75,000.00
00868,000434000,102.75,000.00
00869,000434500,103.00,000.00
00870,000435000,103.00,000.00
00871,000435500,102.50,000.00
00872,000436000,102.50,000.00
00873,000436500,102.50,000.00
00874,000437000,102.00,000.00
00875,000437500,102.00,000.00
00876,000438000,102.50,000.00
00877,000438500,102.50,000.00
00878,000439000,102.50,000.00
00879,000439500,101.75,000.00
00880,000440000,101.75,000.00
00881,000440500,101.50,000.00
00882,000441000,101.50,000.00
00883,000441500,101.75,000.00
00884,000442000,101.75,000.00
00885,000442500,101.75,000.00
00886,000443000,101.25,000.00
00887,000443500,101.25,000.00
00888,000444000,100.75,000.00
00889,000444500,100.75,000.00
00890,000445000,100.75,000.00
00891,000445500,101.00,000.00
00892,000446000,101.00,000.00
00893,000446500,101.25,000.00
00894,000447000,101.25,000.00
00895,000447500,101.25,000.00
00896,000448000,100.75,000.00
00897,000448500,100.75,000.00
00898,000449000,100.25,000.00
00899,000449500,100.25,000.00
00900,000450000,100.75,000.00
00901,000450500,100.75,000.00
00902,000451000,100.75,000.00
00903,000451500,100.00,000.00
00904,000452000,100.00,000.00
00905,000452500,100.00,000.00
00906,000453000,100.00,000.00
00907,000453500,100.00,000.00
00908,000454000,100.25,000.00
00909,000454500,100.25,000.00
00910,000455000,100.00,000.00
00911,000455500,100.00,000.00
00912,000456000,099.25,000.00
00913,000456500,099.25,000.00
00914,000457000,099.25,000.00
00915,000457500,099.50,000.00
00916,000458000,099.50,000.00
00917,000458500,099.25,000.00
00918,000459000,099.25,000.00
00919,000459500,099.25,000.00
00920,000460000,099.25,000.00
00921,000460500,099.25,000.00
00922,000461000,098.50,000.00
00923,000461500,098.50,000.00
