Index,Time (ms),Temperature (C),pwm_controller (percent)
00121,000060500,032.25,100.00
00122,000061000,032.25,100.00
00123,000061500,032.25,100.00
00124,000062000,033.00,100.00
00125,000062500,033.00,100.00
00126,000063000,033.25,100.00
00127,000063500,033.25,100.00
00128,000064000,033.25,100.00
00129,000064500,033.50,100.00
00130,000065000,033.50,100.00
00131,000065500,034.50,100.00
00132,000066000,034.50,100.00
00133,000066500,034.50,100.00
00134,000067000,035.00,100.00
00135,000067500,035.00,100.00
00136,000068000,035.50,100.00
00137,000068500,035.50,100.00
00138,000069000,036.00,100.00
00139,000069500,036.00,100.00
00140,000070000,036.00,100.00
00141,000070500,036.75,100.00
00142,000071000,036.75,100.00
00143,000071500,037.50,100.00
00144,000072000,037.50,100.00
00145,000072500,037.50,100.00
00146,000073000,038.00,100.00
00147,000073500,038.00,100.00
00148,000074000,039.00,100.00
00149,000074500,039.00,100.00
00150,000075000,039.75,100.00
00151,000075500,039.75,100.00
00152,000076000,039.75,100.00
00153,000076500,040.25,100.00
00154,000077000,040.25,100.00
00155,000077500,041.25,100.00
00156,000078000,041.25,100.00
00157,000078500,041.25,100.00
00158,000079000,042.00,100.00
00159,000079500,042.00,100.00
00160,000080000,043.00,100.00
00161,000080500,043.00,100.00
00162,000081000,043.00,100.00
00163,000081500,044.00,100.00
00164,000082000,044.00,100.00
00165,000082500,045.00,100.00
00166,000083000,045.00,100.00
00167,000083500,045.50,100.00
00168,000084000,045.50,100.00
00169,000084500,045.50,100.00
00170,000085000,047.00,100.00
00171,000085500,047.00,100.00
00172,000086000,048.00,100.00
00173,000086500,048.00,100.00
00174,000087000,048.00,100.00
00175,000087500,048.50,100.00
00176,000088000,048.50,100.00
00177,000088500,049.75,100.00
00178,000089000,049.75,100.00
00179,000089500,049.75,100.00
00180,000090000,050.75,100.00
00181,000090500,050.75,100.00
00182,000091000,052.50,100.00
00183,000091500,052.50,100.00
00184,000092000,053.50,100.00
00185,000092500,053.50,100.00
00186,000093000,053.50,100.00
00187,000093500,054.75,100.00
00188,000094000,054.75,100.00
00189,000094500,055.75,100.00
00190,000095000,055.75,100.00
00191,000095500,055.75,100.00
00192,000096000,056.75,100.00
00193,000096500,056.75,100.00
00194,000097000,058.25,100.00
00195,000097500,058.25,100.00
00196,000098000,059.75,100.00
00197,000098500,059.75,100.00
00198,000099000,059.75,100.00
00199,000099500,061.25,100.00
00200,000100000,061.25,100.00
00201,000100500,062.50,100.00
00202,000101000,062.50,100.00
00203,000101500,062.50,100.00
00204,000102000,063.75,100.00
00205,000102500,063.75,100.00
00206,000103000,065.50,100.00
00207,000103500,065.50,100.00
00208,000104000,065.50,100.00
