Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00252,000126000,056.25,14.33,000.00,0,050.00
00253,000126500,056.00,14.32,008.25,0,050.00
00254,000127000,056.00,14.32,000.00,0,050.00
00255,000127500,056.00,14.32,000.00,0,050.00
00256,000128000,056.00,14.32,000.00,0,050.00
00257,000128500,056.50,14.33,000.00,0,050.00
00258,000129000,056.50,14.33,000.00,0,050.00
00259,000129500,056.50,14.33,000.00,0,050.00
00260,000130000,056.50,14.32,000.00,0,050.00
00261,000130500,056.50,14.32,000.00,0,050.00
00262,000131000,056.25,14.32,006.94,0,050.00
00263,000131500,056.25,14.32,000.00,0,050.00
00264,000132000,056.25,14.32,000.00,0,050.00
00265,000132500,056.75,14.33,000.00,0,050.00
00266,000133000,056.75,14.33,000.00,0,050.00
00267,000133500,056.00,14.33,027.37,0,050.00
00268,000134000,056.00,14.33,000.00,0,050.00
00269,000134500,056.00,14.33,000.00,0,050.00
00270,000135000,056.00,14.35,000.00,0,050.00
00271,000135500,056.00,14.35,000.00,0,050.00
00272,000136000,056.00,14.35,000.00,0,050.00
00273,000136500,056.00,14.35,000.00,0,050.00
00274,000137000,056.00,14.36,000.00,0,050.00
00275,000137500,056.00,14.36,000.00,0,050.00
00276,000138000,056.00,14.36,000.00,0,050.00
00277,000138500,056.50,14.36,000.00,0,050.00
00278,000139000,056.50,14.36,000.00,0,050.00
00279,000139500,056.25,14.35,005.88,0,050.00
00280,000140000,056.25,14.35,000.00,0,050.00
00281,000140500,056.25,14.35,000.00,0,050.00
00282,000141000,056.00,14.35,006.45,0,050.00
00283,000141500,056.00,14.35,000.00,0,050.00
00284,000142000,056.00,14.36,000.00,0,050.00
00285,000142500,056.00,14.36,000.00,0,050.00
00286,000143000,056.00,14.36,000.00,0,050.00
00287,000143500,056.00,14.36,000.00,0,050.00
00288,000144000,056.00,14.36,000.00,0,050.00
00289,000144500,056.25,14.36,000.00,0,050.00
00290,000145000,056.25,14.36,000.00,0,050.00
00291,000145500,055.75,14.36,016.66,0,050.00
00292,000146000,055.75,14.36,000.00,0,050.00
00293,000146500,055.75,14.36,000.00,0,050.00
00294,000147000,055.50,14.35,007.24,0,050.00
00295,000147500,055.50,14.35,000.00,0,050.00
00296,000148000,055.50,14.35,000.00,0,050.00
00297,000148500,055.50,14.35,000.00,0,050.00
00298,000149000,055.50,14.35,000.00,0,050.00
00299,000149500,056.00,14.36,000.00,0,050.00
00300,000150000,056.00,14.36,000.00,0,050.00
00301,000150500,056.50,14.36,000.00,0,050.00
00302,000151000,056.50,14.36,000.00,0,050.00
00303,000151500,056.25,14.36,004.46,0,050.00
00304,000152000,056.25,14.36,000.00,0,050.00
00305,000152500,056.25,14.36,000.00,0,050.00
00306,000153000,056.50,14.37,000.00,0,050.00
00307,000153500,056.50,14.37,000.00,0,050.00
00308,000154000,056.25,14.37,004.14,0,050.00
00309,000154500,056.25,14.37,000.00,0,050.00
00310,000155000,056.25,14.37,000.00,0,050.00
00311,000155500,056.25,14.39,000.00,0,050.00
00312,000156000,056.25,14.39,000.00,0,050.00
00313,000156500,055.75,14.39,015.33,0,050.00
00314,000157000,055.75,14.39,000.00,0,050.00
00315,000157500,055.75,14.39,000.00,0,050.00
00316,000158000,056.00,14.40,000.00,0,050.00
00317,000158500,056.00,14.40,000.00,0,050.00
00318,000159000,056.00,14.41,000.00,0,050.00
00319,000159500,056.00,14.41,000.00,0,050.00
00320,000160000,055.75,14.42,004.92,0,050.00
00321,000160500,055.75,14.42,000.00,0,050.00
00322,000161000,055.75,14.42,000.00,0,050.00
00323,000161500,055.50,14.42,005.50,0,050.00
00324,000162000,055.50,14.42,000.00,0,050.00
00325,000162500,055.25,14.44,006.14,0,050.00
00326,000163000,055.25,14.44,000.00,0,050.00
00327,000163500,055.25,14.44,000.00,0,050.00
00328,000164000,055.25,14.45,000.00,0,050.00
00329,000164500,055.25,14.45,000.00,0,050.00
00330,000165000,055.25,14.43,000.00,0,050.00
00331,000165500,055.25,14.43,000.00,0,050.00
00332,000166000,055.00,14.45,006.53,0,050.00
00333,000166500,055.00,14.45,000.00,0,050.00
00334,000167000,055.00,14.45,000.00,0,050.00
00335,000167500,054.50,14.45,017.88,0,050.00
00336,000168000,054.50,14.45,000.00,0,050.00
00337,000168500,054.75,14.44,000.00,0,050.00
00338,000169000,054.75,14.44,000.00,0,050.00
00339,000169500,054.75,14.44,000.00,0,050.00
00340,000170000,054.25,14.44,018.40,0,050.00
00341,000170500,054.25,14.44,000.00,0,050.00
00342,000171000,054.50,14.43,000.00,0,050.00
00343,000171500,054.50,14.43,000.00,0,050.00
00344,000172000,054.50,14.43,000.00,0,050.00
00345,000172500,054.75,14.43,000.00,0,050.00
00346,000173000,054.75,14.43,000.00,0,050.00
00347,000173500,054.75,14.40,000.00,0,050.00
00348,000174000,054.75,14.40,000.00,0,050.00
00349,000174500,054.50,14.39,007.24,0,050.00
00350,000175000,054.50,14.39,000.00,0,050.00
00351,000175500,054.50,14.39,000.00,0,050.00
00352,000176000,054.75,14.39,000.00,0,050.00
00353,000176500,054.75,14.39,000.00,0,050.00
00354,000177000,054.50,14.38,007.01,0,050.00
00355,000177500,054.50,14.38,000.00,0,050.00
00356,000178000,054.50,14.38,000.00,0,050.00
00357,000178500,054.50,14.36,000.00,0,050.00
00358,000179000,054.50,14.36,000.00,0,050.00
00359,000179500,054.25,14.36,007.54,0,050.00
00360,000180000,054.25,14.36,000.00,0,050.00
00361,000180500,054.25,14.36,006.41,0,050.21
00362,000181000,054.25,14.36,007.00,0,050.42
00363,000181500,054.25,14.36,007.59,0,050.62
00364,000182000,054.00,14.34,018.93,0,050.83
00365,000182500,054.00,14.34,009.52,0,051.04
00366,000183000,054.25,14.33,000.00,0,051.25
00367,000183500,054.25,14.33,009.97,0,051.46
00368,000184000,054.25,14.33,010.57,0,051.67
00369,000184500,054.25,14.32,011.17,0,051.88
00370,000185000,054.25,14.32,011.77,0,052.08
00371,000185500,054.00,14.31,023.13,0,052.29
00372,000186000,054.00,14.31,013.74,0,052.50
00373,000186500,054.00,14.31,014.35,0,052.71
00374,000187000,054.00,14.30,014.96,0,052.92
00375,000187500,054.00,14.30,015.58,0,053.12
00376,000188000,054.25,14.30,005.45,0,053.33
00377,000188500,054.25,14.30,016.06,0,053.54
00378,000189000,054.25,14.30,016.68,0,053.75
00379,000189500,054.25,14.30,017.31,0,053.96
00380,000190000,054.25,14.30,017.93,0,054.17
00381,000190500,054.00,14.28,029.31,0,054.38
00382,000191000,054.00,14.28,019.94,0,054.58
00383,000191500,053.75,14.28,031.33,0,054.79
00384,000192000,053.75,14.28,021.96,0,055.00
00385,000192500,053.75,14.28,022.60,0,055.21
00386,000193000,053.50,14.27,034.00,0,055.42
00387,000193500,053.50,14.27,024.64,0,055.62
00388,000194000,053.00,14.27,046.80,0,055.83
00389,000194500,053.00,14.27,027.45,0,056.04
00390,000195000,053.25,14.26,017.36,0,056.25
00391,000195500,053.25,14.26,028.01,0,056.46
00392,000196000,053.25,14.26,028.67,0,056.67
00393,000196500,053.50,14.26,018.58,0,056.88
00394,000197000,053.50,14.26,029.24,0,057.08
00395,000197500,053.50,14.25,029.91,0,057.29
00396,000198000,053.50,14.25,030.57,0,057.50
00397,000198500,053.50,14.25,031.24,0,057.71
00398,000199000,054.00,14.24,010.40,0,057.92
00399,000199500,054.00,14.24,031.07,0,058.12
00400,000200000,054.00,14.23,031.74,0,058.33
00401,000200500,054.00,14.23,032.41,0,058.54
00402,000201000,054.00,14.23,033.08,0,058.75
00403,000201500,054.25,14.21,023.00,0,058.96
00404,000202000,054.25,14.21,033.68,0,059.17
00405,000202500,054.25,14.21,034.35,0,059.38
00406,000203000,054.25,14.21,035.03,0,059.58
00407,000203500,054.25,14.22,035.71,0,059.79
00408,000204000,054.25,14.22,036.39,0,060.00
00409,000204500,054.25,14.22,037.08,0,060.21
00410,000205000,054.25,14.21,037.76,0,060.42
00411,000205500,054.25,14.21,038.45,0,060.62
00412,000206000,054.25,14.20,039.14,0,060.83
00413,000206500,054.25,14.20,039.84,0,061.04
00414,000207000,054.25,14.20,040.53,0,061.25
00415,000207500,054.25,14.18,041.23,0,061.46
00416,000208000,054.25,14.18,041.93,0,061.67
00417,000208500,054.25,14.20,042.63,0,061.88
00418,000209000,054.25,14.20,043.33,0,062.08
00419,000209500,054.25,14.20,044.04,0,062.29
00420,000210000,054.50,14.20,033.99,0,062.50
00421,000210500,054.50,14.20,044.70,0,062.71
00422,000211000,054.50,14.18,045.41,0,062.92
00423,000211500,054.50,14.18,046.12,0,063.12
00424,000212000,054.75,14.18,036.08,0,063.33
00425,000212500,054.75,14.18,046.79,0,063.54
00426,000213000,054.75,14.18,047.51,0,063.75
00427,000213500,054.50,14.18,058.98,0,063.96
00428,000214000,054.50,14.18,049.70,0,064.17
00429,000214500,055.00,14.18,028.92,0,064.38
00430,000215000,055.00,14.18,049.64,0,064.58
00431,000215500,055.00,14.18,050.36,0,064.79
00432,000216000,055.00,14.18,051.09,0,065.00
00433,000216500,055.00,14.18,051.82,0,065.21
00434,000217000,055.00,14.18,052.54,0,065.42
00435,000217500,055.00,14.18,053.28,0,065.62
